sat ,(model   (define-fun x () String "A\u{0}ABCAAB") ) 
sat ,(model   (define-fun x () String "\u{0}AAA\u{0}BB") ) 
sat ,(model   (define-fun x () String "\u{0}CCCBACA") ) 
sat ,(model   (define-fun x () String "A\u{0}ABC\u{0}") ) 
sat ,(model   (define-fun x () String "A\u{0}BAA\u{0}") ) 
sat ,(model   (define-fun x () String "A\u{0}BAABA\u{0}A") ) 
sat ,(model   (define-fun x () String "A\u{0}BBC\u{0}") ) 
sat ,(model   (define-fun x () String "A\u{0}BCA\u{0}") ) 
sat ,(model   (define-fun x () String "A\u{0}BCC\u{0}") ) 
sat ,(model   (define-fun x () String "AB\u{0}CCB") ) 
sat ,(model   (define-fun x () String "A\u{0}CAA\u{0}") ) 
sat ,(model   (define-fun x () String "A\u{0}CBA\u{0}") ) 
sat ,(model   (define-fun x () String "A\u{0}CBC\u{0}") ) 
sat ,(model   (define-fun x () String "B\u{0}AAC\u{0}") ) 
sat ,(model   (define-fun x () String "B\u{0}ABC\u{0}") ) 
sat ,(model   (define-fun x () String "BABBCAB") ) 
sat ,(model   (define-fun x () String "\u{0}A\u{0}AABBC") ) 
sat ,(model   (define-fun x () String "B\u{0}ACC\u{0}") ) 
sat ,(model   (define-fun x () String "\u{0}AACACBC") ) 
sat ,(model   (define-fun x () String "\u{0}B\u{0}CABBB") ) 
sat ,(model   (define-fun x () String "\u{0}AC\u{0}ACA") ) 
sat ,(model   (define-fun x () String "\u{0}C\u{0}BACCA") ) 
sat ,(model   (define-fun x () String "\u{0}AAC\u{0}BBB") ) 
sat ,(model   (define-fun x () String "\u{0}ACCBCC") ) 
sat ,(model   (define-fun x () String "\u{0}AA\u{0}ABCB") ) 
sat ,(model   (define-fun x () String "\u{0}C\u{0}BBB\u{0}") ) 
sat ,(model   (define-fun x () String "\u{0}A\u{0}ACAA\u{0}AB") ) 
sat ,(model   (define-fun x () String "\u{0}\u{0}AAABA\u{0}A") ) 
sat ,(model   (define-fun x () String "\u{0}C\u{0}ABB\u{0}C") ) 
sat ,(model   (define-fun x () String "\u{0}ACC\u{0}BAC") ) 
sat ,(model   (define-fun x () String "\u{0}CCBB\u{0}BCC") ) 
sat ,(model   (define-fun x () String "\u{0}BB\u{0}ABB") ) 
sat ,(model   (define-fun x () String "\u{0}B\u{0}BCC\u{0}BBC") ) 
sat ,(model   (define-fun x () String "\u{0}ABCABAB") ) 
sat ,(model   (define-fun x () String "\u{0}BCCACBB") ) 
sat ,(model   (define-fun x () String "\u{0}CB\u{0}CCC") ) 
sat ,(model   (define-fun x () String "\u{0}CAAABAA") ) 
sat ,(model   (define-fun x () String "\u{0}CB\u{0}ACABAB") ) 
sat ,(model   (define-fun x () String "\u{0}BC\u{0}BBC") ) 
sat ,(model   (define-fun x () String "\u{0}BAAACB") ) 
sat ,(model   (define-fun x () String "\u{0}CCA\u{0}BCC") ) 
sat ,(model   (define-fun x () String "\u{0}B\u{0}CCC\u{0}C") ) 
sat ,(model   (define-fun x () String "\u{0}AAAB\u{0}AA") ) 
sat ,(model   (define-fun x () String "\u{0}\u{0}ABAC\u{0}B") ) 
sat ,(model   (define-fun x () String "\u{0}\u{0}AAA\u{0}BA") ) 
sat ,(model   (define-fun x () String "\u{0}C\u{0}BAAAA") ) 
sat ,(model   (define-fun x () String "\u{0}BCACAAB") ) 
sat ,(model   (define-fun x () String "\u{0}ACCABAB") ) 
sat ,(model   (define-fun x () String "\u{0}B\u{0}CAAC") ) 
sat ,(model   (define-fun x () String "\u{0}\u{0}ACAACA") ) 
sat ,(model   (define-fun x () String "\u{0}C\u{0}BBB\u{0}") ) 
sat ,(model   (define-fun x () String "\u{0}AA\u{0}ABC") ) 
sat ,(model   (define-fun x () String "\u{0}\u{0}AABB\u{0}") ) 
sat ,(model   (define-fun x () String "\u{0}C\u{0}AAACA") ) 
sat ,(model   (define-fun x () String "\u{0}A\u{0}CAAC") ) 
sat ,(model   (define-fun x () String "\u{0}AABBCB\u{0}C") ) 
sat ,(model   (define-fun x () String "\u{0}C\u{0}ABBACAB\u{0}") ) 
sat ,(model   (define-fun x () String "\u{0}\u{0}CCACBBA") ) 
sat ,(model   (define-fun x () String "\u{0}B\u{0}AABA") ) 
sat ,(model   (define-fun x () String "\u{0}\u{0}ACCC\u{0}") ) 
